Composition,doi,Phase,Density (g/cm3),Hardness (GPa),YS (MPa) at 23 C,YS (MPa) at 1000 C,YS (MPa) at 1200 C,Test Type
Al0.4Hf0.6Nb1Ta1Ti1Zr1,10.1038/s41597-020-00768-9,,,,1841,,,
Mo1Nb1Ti1V1Zr1,10.1038/s41597-020-00768-9,,,,1786,,,
Mo1Nb1Ti1V0.25Zr1,10.1038/s41597-020-00768-9,,,,1776,,,
Mo0.667Nb0.667Ti0.667V1Zr0.667,10.1038/s41597-020-00768-9,,,,1735,,,
Hf1Mo1Nb1Ti1Zr1,10.1038/s41597-020-00768-9,,,,1719,,,
Mo1Nb1Ti1V0.75Zr1,10.1038/s41597-020-00768-9,,,,1708,,,
Mo1Nb1Ti1V0.5Zr1,10.1038/s41597-020-00768-9,,,,1647,,,
Al0.5Mo1Nb1Ti1V1,10.1038/s41597-020-00768-9,,,,1625,,,
Hf1Mo1Ta1Ti1Zr1,10.1038/s41597-020-00768-9,,,,1600,,,
Cr1Mo0.5Nb1Ta0.5Ti1Zr1,10.1038/s41597-020-00768-9,,,,1595,,,
Mo1Nb1Ti1Zr1,10.1038/s41597-020-00768-9,,,,1592,,,
Hf1Nb1Si0.5Ti1V1Zr1,10.1038/s41597-020-00768-9,,,,1540,,,
Mo0.5Nb0.5Ti0.5V1Zr0.5,10.1038/s41597-020-00768-9,,,,1538,,,
Nb1Ta1V1W1,10.1038/s41597-020-00768-9,,,,1530,,,
Mo1Nb1Ta1V1,10.1038/s41597-020-00768-9,,,,1525,,,
NbTiZr,10.3390/met11111819,,,,920,146,61,
TaTiZr,10.3390/met11111819,,,,1670,103,63,
Re0.3NbTiZr,10.3390/met11111819,,,,1220,323,89,
Re0.3TaTiZr,10.3390/met11111819,,,,1715,122,71,
HfNb0.18Ta0.18Ti1.27Zr,10.1016/j.msea.2021.141512,BCC,,,540,,,
HfNbTaTiZr,10.1016/j.msea.2021.141512,BCC,,,820,,,
HfNbTaTiZr,10.1016/j.msea.2021.141512,BCC,,,1200,,,
HfNbTaTiZr,10.1016/j.msea.2021.141512,BCC,,,960-1145,,,
HfNbTiZr,10.1016/j.msea.2021.141512,BCC,,,879,,,
Hf0.5Nb0.5Ta0.5Ti1.5Zr,10.1016/j.msea.2021.141512,BCC,,,903,,,
HfTaTiZr,10.1016/j.msea.2021.141512,BCC,,,1400,,,
HfNbTaTiZr,10.1016/j.msea.2021.141512,BCC,,,1155,,,
NbTaTi,10.1016/j.msea.2021.141512,BCC,,,620,,,
NbTiZr,10.1016/j.msea.2021.141512,BCC,,,956,,,
NbTa0.2Ti1.8Zr,10.1016/j.msea.2021.141512,BCC,,,790,,,
NbTa0.4Ti1.6Zr,10.1016/j.msea.2021.141512,BCC,,,910,,,
NbTa0.6Ti1.4Zr,10.1016/j.msea.2021.141512,BCC,,,1030,,,
NbTa0.8Ti1.2Zr,10.1016/j.msea.2021.141512,BCC,,,1100,,,
MoNbTi,10.1016/j.msea.2021.141512,BCC,,,950,,,
HfTa0.4TiZr,10.1016/j.msea.2021.141512,BCC + HCP,,,400,,,
HfTa0.5TiZr,10.1016/j.msea.2021.141512,BCC + HCP,,,700,,,
HfTa0.6TiZr,10.1016/j.msea.2021.141512,BCC + HCP,,,800,,,
HfNbTaTiZr,10.1016/j.msea.2021.141512,BCC + BCC,,,1070-1305,,,
HfNbTaTiZr,10.1016/j.msea.2021.141512,BCC + HCP,,,1520,,,
NbTaTiZr,10.1016/j.msea.2021.141512,BCC + BCC,,,1144,,,
Nb1.5TaTiZr0.5,10.1016/j.msea.2021.141512,BCC + BCC,,,822,,,
AI0.25MoNbTiV,10.1016/j.dib.2018.10.071,BCC,7.1,163.6,1250,,,
Al0.25NbTaTiV,10.1016/j.dib.2018.10.071,BCC,8.8,130,1330,,,
Al0.25NbTaTiZr,10.1016/j.dib.2018.10.071,BCC + B2,8.6,,1745,,,
Al0.25NbTaTiZr,10.1016/j.dib.2018.10.071,BCC + B2,8.6,,366,,,
A10.2MoTaTiV,10.1016/j.dib.2018.10.071,BCC,9.3,184,1021,,,
Al0.3HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.6,108.3,1188,,,
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,10.1016/j.dib.2018.10.071,BCC,7.7,110.2,1965,,,
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,10.1016/j.dib.2018.10.071,BCC,7.7,,166,,,
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,10.1016/j.dib.2018.10.071,BCC,7.7,,678,,,
Al0.3NbTaTi 1.4Zr1.3,10.1016/j.dib.2018.10.071,BCC + B2,8.1,,1965,,,
Al0.3NbTaTi1.4Zr1.3,10.1016/j.dib.2018.10.071,BCC + B2,8.1,,236,,,
Al0.3NbTaTi 1.4Zr1.3,10.1016/j.dib.2018.10.071,BCC + B2,8.1,,362,,,
Al0.4Hf0.6NbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.1,110,1841,,,
Al0.4Hf0.6NbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.1,,298,,,
Al0.4Hf0.6NbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.1,,796,,,
Al0.4Hf0.6NbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.1,110,1841,,,
AI0.4Hf0.6NbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.1,,89,,,
AlQ.4Hf0.6NbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.1,,298,,,
AI0.4Hf0.6NbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.1,,796,,,
Al0.5CrNbTi2V0.5,10.1016/j.dib.2018.10.071,BCC + Laves,5.8,,1340,,,
AI0.5CrNbTi2V0.5,10.1016/j.dib.2018.10.071,BCC,5.8,143,1240,,,
Al0.5CrNbTi2V0.5,10.1016/j.dib.2018.10.071,BCC + Laves,5.8,,90,,,
AI0.5CrNbTi2V0.5,10.1016/j.dib.2018.10.071,BCC + Laves,5.8,,445,,,
Al0.5CrNbTi2V0.5,10.1016/j.dib.2018.10.071,BCC + Laves,5.8,,930,,,
AI0.5HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.3,106.9,1302,,,
AI0.5Mo0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.6,,2350,,,
AI0.5Mo0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.6,,579,,,
Al0.5MoNbTiV,10.1016/j.dib.2018.10.071,BCC,6.8,158.4,1625,,,
Al0.5NbTa0.8Ti 1.5V0.2Zr,10.1016/j.dib.2018.10.071,BCC + B2,7.6,111.3,2035,,,
Al0.5NbTa0.8Ti 1.5V0.2Zr,10.1016/j.dib.2018.10.071,BCC + B2,7.6,,220,,,
AI0.5NbTa0.8Ti1.5V0.2Zr,10.1016/j.dib.2018.10.071,BCC + B2,7.6,,796,,,
Al0.5NbTaTiV,10.1016/j.dib.2018.10.071,BCC,8.5,126.7,1012,,,
AI0.6MoTaTIV,10.1016/j.dib.2018.10.071,BCC,8.7,174.1,962,,,
Al0.75HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.1,105.3,1415,,,
AI0.75MoNbTiV,10.1016/j.dib.2018.10.071,BCC,6.6,153.8,1260,,,
Al1.5MoNbTiV,10.1016/j.dib.2018.10.071,BCC,6.1,142.4,500,,,
AlCr0.5NbTiV,10.1016/j.dib.2018.10.071,BCC,5.6,124.1,1300,,,
AlCr0.5NbTiV,10.1016/j.dib.2018.10.071,BCC,5.6,,40,,,
AlCr0.5NbTIV,10.1016/j.dib.2018.10.071,BCC,5.6,,640,,,
AlCr0.5NbTiv,10.1016/j.dib.2018.10.071,BCC,5.6,,1005,,,
AlCr1.5NbTiV,10.1016/j.dib.2018.10.071,BCC + Laves,5.9,,1700,,,
AlCr1.5NbTiV,10.1016/j.dib.2018.10.071,BCC + Laves,5.9,,75,,,
AlCr1.5NbTiV,10.1016/j.dib.2018.10.071,BCC + Laves,5.9,,970,,,
AlCr1.5NbTiV,10.1016/j.dib.2018.10.071,BCC + Laves,5.9,,1370,,,
AlCrMoNbTi,10.1016/j.dib.2018.10.071,BCC + unknown,6.6,,-1010,,,
AlCrMoNbTi,10.1016/j.dib.2018.10.071,BCC + unknown,6.6,,105,,,
AlCrMoNbTi,10.1016/j.dib.2018.10.071,BCC + unknown,6.6,,594,,,
AlCrMoNbTi,10.1016/j.dib.2018.10.071,BCC + unknown,6.6,,860,,,
AlCrMoNbTi,10.1016/j.dib.2018.10.071,BCC + unknown,6.6,,1060,,,
AlCrMoNbTi,10.1016/j.dib.2018.10.071,BCC + unknown,6.6,,1080,,,
AlCrMoNbTi,10.1016/j.dib.2018.10.071,BCC,6.6,,150,,,
AlCrMoNbTi,10.1016/j.dib.2018.10.071,BCC,6.6,,550,,,
AlCrMoNbTi,10.1016/j.dib.2018.10.071,BCC,6.6,,875,,,
AlCrMoNbTi,10.1016/j.dib.2018.10.071,BCC,6.6,,930,,,
AlCrMoTi,10.1016/j.dib.2018.10.071,BCC,6,,100,,,
AlCrMoTi,10.1016/j.dib.2018.10.071,BCC,6,,375,,,
AlCrMoTi,10.1016/j.dib.2018.10.071,BCC,6,,875,,,
AlCrMoTi,10.1016/j.dib.2018.10.071,BCC,6,,1020,,,
AlCrMoTi,10.1016/j.dib.2018.10.071,BCC,6,,1070,,,
AlCrNbTiV,10.1016/j.dib.2018.10.071,BCC + Laves,5.8,,1550,,,
AlCrNbTiV,10.1016/j.dib.2018.10.071,BCC + Laves,5.8,,65,,,
AlCrNbTiV,10.1016/j.dib.2018.10.071,BCC + Laves,5.8,,860,,,
AlCrNbTiV,10.1016/j.dib.2018.10.071,BCC + Laves,5.8,,1015,,,
AlHfNbTaTiZr,10.1016/j.dib.2018.10.071,2 BCC,8.9,,1489,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,2197,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,745,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,2000,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,745,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,1597,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,2000,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,250,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,745,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,1597,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,2000,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,250,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,745,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,1597,,,
AIMO0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + B2,7.1,,1870,,,
AIMO0.5NbTa0.5TiZr0.5,10.1016/j.dib.2018.10.071,B2,7.2,,-1320,,,
AIMO0.5NbTa0.5TiZr0.5,10.1016/j.dib.2018.10.071,B2,7.2,,935,,,
AIMONbTi,10.1016/j.dib.2018.10.071,BCC,6.5,,200,,,
AlMoNbTi,10.1016/j.dib.2018.10.071,BCC,6.5,,540,,,
AlMoNbTi,10.1016/j.dib.2018.10.071,BCC,6.5,,500,,,
AlMoNbTi,10.1016/j.dib.2018.10.071,BCC,6.5,,520,,,
AlMoNbTiV,10.1016/j.dib.2018.10.071,BCC,6.4,149.6,1375,,,
AlMoTaTiV,10.1016/j.dib.2018.10.071,BCC,8.2,165.8,-735,,,
AlNb1.5Ta0.5Ti1.5Zr0.5,10.1016/j.dib.2018.10.071,BCC,6.8,105.7,1280,,,
AINb1.5Ta0.5Ti1.5Zr0.5,10.1016/j.dib.2018.10.071,BCC,6.8,,403,,,
AlNb1.5Ta0.5Til.5Zr0.5,10.1016/j.dib.2018.10.071,BCC,6.8,,728,,,
AINbTa0.5TiZr0.5,10.1016/j.dib.2018.10.071,B2,6.9,,1352,,,
AINbTa0.5TiZr0.5,10.1016/j.dib.2018.10.071,B2,6.9,,535,,,
AINbTaTiV,10.1016/j.dib.2018.10.071,BCC,7.9,121,991,,,
AINbTIV,10.1016/j.dib.2018.10.071,BCC,5.5,104.8,1000,,,
AINbTIV,10.1016/j.dib.2018.10.071,BCC,5.5,,110,,,
AINbTiV,10.1016/j.dib.2018.10.071,BCC,5.5,,560,,,
AINbTIV,10.1016/j.dib.2018.10.071,BCC,5.5,,780,,,
AINbTiV,10.1016/j.dib.2018.10.071,BCC,5.5,104.8,1020,,,
AINbTIV,10.1016/j.dib.2018.10.071,BCC,5.5,,158,,,
AINbTIV,10.1016/j.dib.2018.10.071,BCC,5.5,,685,,,
AINbTiV,10.1016/j.dib.2018.10.071,BCC,5.5,,810,,,
AINbTIV,10.1016/j.dib.2018.10.071,B2,5.5,,1000,,,
AINbTiV,10.1016/j.dib.2018.10.071,B2,5.5,,560,,,
AINbTiV,10.1016/j.dib.2018.10.071,B2,5.5,,780,,,
AINbTIVZr,10.1016/j.dib.2018.10.071,B2 + A13Zr5 + Laves,5.8,,1500,,,
AINbTiVZr,10.1016/j.dib.2018.10.071,B2 + A13Zr5 + Laves,5.8,,550,,,
AINbTiVZr,10.1016/j.dib.2018.10.071,B2 + Al3Zr5 + Laves,5.8,,1155,,,
AINbTIVZr0.1,10.1016/j.dib.2018.10.071,B2 + Al3Zr5,5.5,,1290,,,
AINbTIVZr0.1,10.1016/j.dib.2018.10.071,B2 + Al3Zr5,5.5,,865,,,
AINbTIVZr0.1,10.1016/j.dib.2018.10.071,B2 + Al3Zr5,5.5,,975,,,
AINbTIVZr0.25,10.1016/j.dib.2018.10.071,B2 + Al3Zr5,5.6,,1360,,,
AINbTIVZr0.25,10.1016/j.dib.2018.10.071,B2 + Al3Zr5,5.6,,855,,,
AINbTIVZr0.25,10.1016/j.dib.2018.10.071,B2 + Al3Zr5,5.6,,1065,,,
AINbTiVZr0.5,10.1016/j.dib.2018.10.071,B2 + A13Zr5 + Laves,5.6,,1485,,,
AINbTiVZr0.5,10.1016/j.dib.2018.10.071,B2 + A13Zr5 + Laves,5.6,,675,,,
AINbTiVZr0.5,10.1016/j.dib.2018.10.071,B2 + Al3Zr5 + Laves,5.6,,1135,,,
AINbTiVZr1.5,10.1016/j.dib.2018.10.071,B2 + Al3Zr5 + Laves,5.8,,1535,,,
AINbTiVZr1.5,10.1016/j.dib.2018.10.071,B2 + A13Zr5 + Laves,5.8,,180,,,
AINbTiVZr1.5,10.1016/j.dib.2018.10.071,B2 + A13Zr5 + Laves,5.8,,-1195,,,
C0.1Hf0.5Mo0.5NbTiZr,10.1016/j.dib.2018.10.071,BCC + MC,7.8,,1183,,,
C0.3Hf0.5Mo0.5NbTiZr,10.1016/j.dib.2018.10.071,BCC + MC,7.7,,1201,,,
CoCrMoNb,10.1016/j.dib.2018.10.071,BCC + Laves,8.8,,-1419.6,,,
CoCrMoNbTi,10.1016/j.dib.2018.10.071,BCC + Laves,7.8,,-1096.8,,,
CoCrMoNbTi0.2,10.1016/j.dib.2018.10.071,BCC + Laves,8.5,,-1905.6,,,
CoCrMoNbTi0.4,10.1016/j.dib.2018.10.071,BCC,8.3,220.1,-1771.3,,,
CoCrMoNbTi0.5,10.1016/j.dib.2018.10.071,BCC + Laves,8.2,,-1609.2,,,
CrHfNbTiZr,10.1016/j.dib.2018.10.071,BCC + Laves,8.2,,1457,,,
CrHfNbTiZr,10.1016/j.dib.2018.10.071,BCC + Laves,8.2,,1420,,,
CrHfNbTiZr,10.1016/j.dib.2018.10.071,BCC + Laves,8.2,,1375,,,
CrHfNbTiZr,10.1016/j.dib.2018.10.071,BCC + Laves,8.2,,1328,,,
CrHfNbTiZr,10.1016/j.dib.2018.10.071,BCC + Laves,8.2,,1322,,,
CrMo0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,2 BCC + Laves,8,,1595,,,
CrMo0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,2 BCC + Laves,8,,170,,,
CrMo0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,2 BCC + Laves,8,,546,,,
CrMo0.5NbTa0.5TiZr,10.1016/j.dib.2018.10.071,2 BCC + Laves,8,,983,,,
CrNbTiVZr,10.1016/j.dib.2018.10.071,BCC + Laves,6.6,,1298,,,
CrNbTiVZr,10.1016/j.dib.2018.10.071,BCC + Laves,6.6,,259,,,
CrNbTiVZr,10.1016/j.dib.2018.10.071,BCC + Laves,6.6,,615,,,
CrNbTiVZr,10.1016/j.dib.2018.10.071,BCC + Laves,6.6,,1230,,,
CrNbTiZr,10.1016/j.dib.2018.10.071,BCC + Laves,6.6,,1260,,,
CrNbTiZr,10.1016/j.dib.2018.10.071,BCC + Laves,6.6,,115,,,
CrNbTiZr,10.1016/j.dib.2018.10.071,BCC + Laves,6.6,,300,,,
CrNbTiZr,10.1016/j.dib.2018.10.071,BCC + Laves,6.6,,1035,,,
CrTaTi0.17VW,10.1016/j.dib.2018.10.071,BCC + Laves,12.6,,2034,,,
CrTaTi0.17VW,10.1016/j.dib.2018.10.071,BCC + Laves,12.6,,750,,,
CrTaTi0.3VW,10.1016/j.dib.2018.10.071,BCC + Laves,12.3,,2050,,,
CrTaTi0.3VW,10.1016/j.dib.2018.10.071,BCC + Laves,12.3,,586,,,
CrTaVW,10.1016/j.dib.2018.10.071,BCC + Laves,13,,2327,,,
CrTaVW,10.1016/j.dib.2018.10.071,BCC + Laves,13,,979,,,
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,10.1016/j.dib.2018.10.071,BCC,10.4,125,822,,,
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,10.1016/j.dib.2018.10.071,BCC,10.4,,590,,,
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,10.1016/j.dib.2018.10.071,BCC,10.4,,650,,,
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,10.1016/j.dib.2018.10.071,BCC,10.4,,765,,,
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,10.1016/j.dib.2018.10.071,BCC,10.4,,795,,,
Hf0.5Mo0.5NbSi0.1TiZr,10.1016/j.dib.2018.10.071,BCC + M5SI3,7.7,,1350,,,
Hf0.5Mo0.5NbSi0.3TiZr,10.1016/j.dib.2018.10.071,BCC + M5SI3,7.5,,1370,,,
Hf0.5Mo0.5NbSi0.5TiZr,10.1016/j.dib.2018.10.071,BCC + M5SI3,7.2,,1600,,,
Hf0.5Mo0.5NbSi0.7TiZr,10.1016/j.dib.2018.10.071,BCC + M5SI3,7,,1550,,,
Hf0.5Mo0.5NbSi0.9TiZr,10.1016/j.dib.2018.10.071,BCC + M5SI3,6.8,,1650,,,
Hf0.5Mo0.5NbTiZr,10.1016/j.dib.2018.10.071,BCC,7.9,123.1,1176,,,
Hf0.5Mo0.5NbTiZr,10.1016/j.dib.2018.10.071,BCC,7.9,123.1,1150,,,
Hf0.5Nb0.5Ta0.5Ti1.5Zr,10.1016/j.dib.2018.10.071,BCC,8.2,106.6,903,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,103.1,1150,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,103.1,1100,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,103.1,890,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1040,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1020,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,640,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1200,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1180,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1020,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1380,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1370,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1250,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1640,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1550,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1370,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1920,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1880,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,1750,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,2390,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,2250,,,
Hf0.75NbTa0.5Ti1.5Zr1.25,10.1016/j.dib.2018.10.071,BCC,8.4,,2210,,,
HfMo0.25NbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,121,1112,,,
HfMo0.5NbSi0.3TiV0.5,10.1016/j.dib.2018.10.071,BCC + M5SI3,8.5,,1617,,,
HfMo0.5NbSi0.3TiV0.5,10.1016/j.dib.2018.10.071,BCC + M5SI3,8.5,,166,,,
HfMo0.5NbSi0.3TiV0.5,10.1016/j.dib.2018.10.071,BCC + M5SI3,8.5,,398,,,
HfMo0.5Nbsi0.5TiV0.5,10.1016/j.dib.2018.10.071,BCC + M5SI3,8.2,,1787,,,
HfMo0.5NbSi0.5TiV0.5,10.1016/j.dib.2018.10.071,BCC + M5SI3,8.2,,188,,,
HfMo0.5NbSi0.5TIV0.5,10.1016/j.dib.2018.10.071,BCC + M5SI3,8.2,,614,,,
HfMo0.5Nbsi0.7TiV0.5,10.1016/j.dib.2018.10.071,BCC + M5SI3,7.9,,2134,,,
HfMo0.5NbSi0.7TiV0.5,10.1016/j.dib.2018.10.071,BCC + M5SI3,7.9,,235,,,
HfMo0.5NbSi0.7TiV0.5,10.1016/j.dib.2018.10.071,BCC + M5SI3,7.9,,673,,,
HfMo0.5NbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,130.5,1317,,,
HfMo0.5NbTiV0.5,10.1016/j.dib.2018.10.071,BCC,9,131.9,1260,,,
HfMo0.5NbTiV0.5,10.1016/j.dib.2018.10.071,BCC,9,,60,,,
HfMo0.5NbTiV0.5,10.1016/j.dib.2018.10.071,BCC,9,,368,,,
HfMo0.75NbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,139.1,1373,,,
HfMoNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,147,1512,,,
HfMoNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,147,1512,,,
HfMoNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,,556,,,
HfMoNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,,814,,,
HfMoNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,,1007,,,
HfMoNbTiZr,10.1016/j.dib.2018.10.071,BCC,8.7,139.2,1719,,,
HfMoNbTiZr,10.1016/j.dib.2018.10.071,BCC,8.7,139.2,1575,,,
HfMoNbTiZr,10.1016/j.dib.2018.10.071,BCC,8.7,,187,,,
HfMoNbTiZr,10.1016/j.dib.2018.10.071,BCC,8.7,,397,,,
HfMoNbTiZr,10.1016/j.dib.2018.10.071,BCC,8.7,,635,,,
HfMoNbTiZr,10.1016/j.dib.2018.10.071,BCC,8.7,,728,,,
HfMoNbTiZr,10.1016/j.dib.2018.10.071,BCC,8.7,,825,,,
HfMoTaTiZr,10.1016/j.dib.2018.10.071,BCC,10.2,155.4,1600,,,
HfMoTaTiZr,10.1016/j.dib.2018.10.071,BCC,10.2,,404,,,
HfMoTaTiZr,10.1016/j.dib.2018.10.071,BCC,10.2,,855,,,
HfMoTaTiZr,10.1016/j.dib.2018.10.071,BCC,10.2,,1045,,,
HfNb0.18Ta0.18Ti1.27Zr,10.1016/j.dib.2018.10.071,BCC,8.5,95.2,540,,,
HfNbSi0.5TiV,10.1016/j.dib.2018.10.071,BCC + M5Si3,7.8,,1399,,,
HfNbsi0.5TIV,10.1016/j.dib.2018.10.071,BCC + M5SI3,7.8,,240,,,
HfNbSi0.5TiV,10.1016/j.dib.2018.10.071,BCC + M5SI3,7.8,,875,,,
HfNbSi0.5TiVZr,10.1016/j.dib.2018.10.071,BCC + Laves + M5Si3,7.5,,1540,,,
HfNbSi0.5TiVZr,10.1016/j.dib.2018.10.071,BCC + Laves + M5Si3,7.5,,1483,,,
HfNbSi0.5TIVZr,10.1016/j.dib.2018.10.071,BCC + Laves + M5Si3,7.5,,371,,,
HfNbSi0.5TIVZr,10.1016/j.dib.2018.10.071,BCC + Laves + M5Si3,7.5,,102,,,
HfNbSi0.5TiVZr,10.1016/j.dib.2018.10.071,BCC + Laves + M5Si3,7.5,,920,,,
HfNbSi0.5TIVZr,10.1016/j.dib.2018.10.071,BCC + Laves + M5Si3,7.5,,597,,,
HfNbSi0.5TiVZr,10.1016/j.dib.2018.10.071,BCC + Laves + M5Si3,7.5,,1273,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,1073,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,1015,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC + HCP,9.9,,1520,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,2 BCC + HCP,9.9,,795,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,1900,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,830,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,2 BCC,9.9,,1303,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,1202,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,1145,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,958,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,944,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,940,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,940,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,929,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,905,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,890,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,828,,,
