REFERENCE: doi,FORMULA,PROPERTY: Type of phases,PROPERTY: Single/Multiphase,PROPERTY: synthesis method,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: comment,Unnamed: 19,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Ni,Pd,Re,Sc,Si,Ta,Ti,V,W,Y,Zn,Zr,Density_g_cc_ROM,VEC,Pugh_Ratio,Cauchy_Pressure,YS_1300C_MPa,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,THCD_25C_W_mK
10.1016/j.scriptamat.2018.08.048,Al0.3CoCrFeNi,FCC + B2 + Sigma,M,CR + A,0.71 $\pm$ 0.35,,,T,25.0,900,1074,25,,,,,,,,0.0,0.06976744186046512,0.0,0.0,0.0,0.23255813953488372,0.23255813953488372,0.0,0.23255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.823720930232558,7.883720930232558,2.0189642596644783,47.61860465116281,109.4013305938485,,,,,
10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15,FCC + BCC,M,AC,75,,,C,25.0,219,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7833,7.65,2.0751445086705202,78.43,0.1476306793027152,,,,,
10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al2,FCC + BCC,M,AC,,,,C,25.0,354,,,,,,,,,,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.19607843137254902,0.0,0.39215686274509803,0.0,0.0,0.0,0.0,0.24509803921568626,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.683627450980392,7.558823529411765,2.0883190883190883,77.79803921568627,37.08309093311307,,,,,
10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al6,FCC + BCC,M,AC,,,,C,25.0,550,,,,,,,,,,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.18867924528301888,0.0,0.37735849056603776,0.0,0.0,0.0,0.0,0.2358490566037736,0.0,0.0,0.14150943396226415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.49556603773585,7.386792452830189,2.1135734072022165,76.60566037735849,142.44903087578913,,,,,
10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al10,B2 + BCC,M,AC,175,,,C,25.0,994,,,,,,,,,,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.321181818181818,7.227272727272727,2.137466307277628,75.49999999999997,226.39064015398168,,,,,
10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al14,B2 + BCC,M,AC,175,,,C,25.0,942,,,,,,,,,,0.0,0.12280701754385966,0.0,0.0,0.0,0.0,0.1754385964912281,0.0,0.3508771929824562,0.0,0.0,0.0,0.0,0.2192982456140351,0.0,0.0,0.13157894736842107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.159035087719299,7.078947368421053,2.1601049868766404,74.4719298245614,284.38316022927864,,,,,
10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15,FCC + BCC,M,AC,,,,C,400.0,132,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7833,7.65,2.0751445086705202,78.43,0.1476306793027152,,,,,
10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al2,FCC + BCC,M,AC,,,,C,400.0,260,,,,,,,,,,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.19607843137254902,0.0,0.39215686274509803,0.0,0.0,0.0,0.0,0.24509803921568626,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.683627450980392,7.558823529411765,2.0883190883190883,77.79803921568627,37.08309093311307,,,,,
10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al6,FCC + BCC,M,AC,,,,C,400.0,469,,,,,,,,,,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.18867924528301888,0.0,0.37735849056603776,0.0,0.0,0.0,0.0,0.2358490566037736,0.0,0.0,0.14150943396226415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.49556603773585,7.386792452830189,2.1135734072022165,76.60566037735849,142.44903087578913,,,,,
10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al10,B2 + BCC,M,AC,,,,C,400.0,943,,,,,,,,,,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.321181818181818,7.227272727272727,2.137466307277628,75.49999999999997,226.39064015398168,,,,,
